big_demand,prob_lead_demand
281,0.024672039506850763
282,0.024467405712471323
283,0.024176992709500668
284,0.023803866802518465
285,0.02335189008482437
286,0.022825652730583994
287,0.022230395452654442
288,0.021571924011424926
289,0.020856517734683257
290,0.020090834022012428
295,0.015755472523022403
296,0.014836913640917982
297,0.013917239299925466
298,0.013002792368543301
310,0.0041037456229621443
311,0.0036129671079488911
312,0.0031635787663330294
323,0.00047437665082163144
324,0.00037914999139121262
325,0.00029932862858209487
326,0.00023300804872464494
331,4.7185117797306533E-05
327,0.00017842126855026203
328,0.00013394603914352
329,9.8108195655058063E-05
330,6.958159424948783E-05
291,0.019281810764880641
292,0.018436568522965359
293,0.017562314167466082
294,0.016666247543180704
313,0.0027544990350615224
314,0.0023843240106030806
315,0.0020513761240399503
316,0.0017537534756579011
317,0.0014893788112210636
334,7.0137031166273051E-06
333,1.6748722489057333E-05
332,2.9877250674009598E-05
299,0.012099528804211734
300,0.011212964781555989
301,0.010348132654712542
302,0.009509545947223327
303,0.008701173437414212
304,0.00792642228917743
305,0.0071881300648381679
318,0.0012560471768909163
319,0.0010514713712976398
322,0.00058703921337718205
320,0.00087332441865852449
321,0.00071927841181667024
306,0.0064885653459075682
307,0.0058294365774679722
308,0.0052119086423153627
309,0.0046366265627201687
