PolicyName,StoreID,ProductID,SupplierID,Quantity,OrderTimestamp,ETA,ConfidenceInterval,Fulfilled
s_Q_perishable,1,4_1,1,199,2017-01-06,2017-01-07,0,False
s_Q_perishable,1,4_1,1,199,2017-01-12,2017-01-13,0,False
s_Q_perishable,1,4_1,1,199,2017-01-04,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-08,2017-01-09,0,False
s_Q_perishable,1,10_1,3,1651,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,7_1,2,23134,2017-01-09,2017-01-11,1,False
s_Q_perishable,1,4_1,1,199,2017-01-10,2017-01-11,0,False
s_Q_perishable,1,1_1,1,291,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,2_1,1,153,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,3_1,1,120,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,3965,2017-01-02,2017-01-03,0,False
s_Q_perishable,1,5_1,2,153,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,6_1,2,157,2017-01-02,2017-01-03,1,False
s_Q_perishable,1,8_1,2,2390,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,9_1,3,280,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-06,2017-01-07,0,False
s_Q_perishable,1,4_1,1,199,2017-01-12,2017-01-13,0,False
s_Q_perishable,1,4_1,1,199,2017-01-04,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-08,2017-01-09,0,False
s_Q_perishable,1,10_1,3,1651,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,7_1,2,23134,2017-01-09,2017-01-11,1,False
s_Q_perishable,1,4_1,1,199,2017-01-10,2017-01-11,0,False
s_Q_perishable,1,1_1,1,291,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,2_1,1,153,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,3_1,1,120,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,3965,2017-01-02,2017-01-03,0,False
s_Q_perishable,1,5_1,2,153,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,6_1,2,157,2017-01-02,2017-01-03,1,False
s_Q_perishable,1,8_1,2,2390,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,9_1,3,280,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-06,2017-01-07,0,False
s_Q_perishable,1,4_1,1,199,2017-01-12,2017-01-13,0,True
s_Q_perishable,1,4_1,1,199,2017-01-04,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-08,2017-01-09,0,False
s_Q_perishable,1,10_1,3,1651,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,7_1,2,23134,2017-01-09,2017-01-11,1,False
s_Q_perishable,1,4_1,1,199,2017-01-10,2017-01-11,0,False
s_Q_perishable,1,1_1,1,291,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,2_1,1,153,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,3_1,1,120,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,3965,2017-01-02,2017-01-03,0,False
s_Q_perishable,1,5_1,2,153,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,6_1,2,157,2017-01-02,2017-01-03,1,False
s_Q_perishable,1,8_1,2,2390,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,9_1,3,280,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-06,2017-01-07,0,False
s_Q_perishable,1,4_1,1,199,2017-01-12,2017-01-13,0,True
s_Q_perishable,1,4_1,1,199,2017-01-04,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-08,2017-01-09,0,False
s_Q_perishable,1,10_1,3,1651,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,7_1,2,23134,2017-01-09,2017-01-11,1,False
s_Q_perishable,1,4_1,1,199,2017-01-10,2017-01-11,0,False
s_Q_perishable,1,1_1,1,291,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,2_1,1,153,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,3_1,1,120,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,3965,2017-01-02,2017-01-03,0,False
s_Q_perishable,1,5_1,2,153,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,6_1,2,157,2017-01-02,2017-01-03,1,False
s_Q_perishable,1,8_1,2,2390,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,9_1,3,280,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,7_1,2,23134,2017-01-09,2017-01-11,1,True
s_Q_perishable,1,4_1,1,199,2017-01-04,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-10,2017-01-11,0,True
s_Q_perishable,1,4_1,1,199,2017-01-06,2017-01-07,0,False
s_Q_perishable,1,10_1,3,1651,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,199,2017-01-08,2017-01-09,0,False
s_Q_perishable,1,1_1,1,291,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,2_1,1,153,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,3_1,1,120,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,3965,2017-01-02,2017-01-03,0,False
s_Q_perishable,1,5_1,2,153,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,6_1,2,157,2017-01-02,2017-01-03,1,False
s_Q_perishable,1,8_1,2,2390,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,9_1,3,280,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,10_1,3,1651,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,199,2017-01-06,2017-01-07,0,False
s_Q_perishable,1,4_1,1,199,2017-01-04,2017-01-05,0,False
s_Q_perishable,1,7_1,2,23134,2017-01-09,2017-01-11,1,True
s_Q_perishable,1,4_1,1,199,2017-01-10,2017-01-11,0,True
s_Q_perishable,1,4_1,1,199,2017-01-08,2017-01-09,0,False
s_Q_perishable,1,1_1,1,291,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,2_1,1,153,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,3_1,1,120,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,3965,2017-01-02,2017-01-03,0,False
s_Q_perishable,1,5_1,2,153,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,6_1,2,157,2017-01-02,2017-01-03,1,False
s_Q_perishable,1,8_1,2,2390,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,9_1,3,280,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,7_1,2,23134,2017-01-09,2017-01-11,1,True
s_Q_perishable,1,4_1,1,199,2017-01-06,2017-01-07,0,False
s_Q_perishable,1,4_1,1,199,2017-01-04,2017-01-05,0,False
s_Q_perishable,1,4_1,1,199,2017-01-08,2017-01-09,0,True
s_Q_perishable,1,10_1,3,1651,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,1_1,1,291,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,2_1,1,153,2017-01-02,2017-01-05,0,False
s_Q_perishable,1,3_1,1,120,2017-01-02,2017-01-04,0,False
s_Q_perishable,1,4_1,1,3965,2017-01-02,2017-01-03,0,False
