PolicyName,StoreID,ProductID,SupplierID,Quantity,OrderTimestamp,ETA,ConfidenceInterval,Fulfilled
Sim,4,14_1,4.0,840,2017-01-01 07:00:00,2017-01-03 07:00:00,1,False
Sim,4,12_1,3.0,60,2017-01-01 07:00:00,2017-01-03 07:00:00,1,False
Sim,4,3_1,1.0,42,2017-01-01 07:00:00,2017-01-02 07:00:00,1,False
Sim,4,15_1,4.0,28,2017-01-01 07:00:00,2017-01-02 07:00:00,1,False
Sim,4,6_1,2.0,544,2017-01-01 07:00:00,2017-01-02 07:00:00,1,False
Sim,4,16_1,4.0,900,2017-01-01 07:00:00,2017-01-03 07:00:00,1,False
Sim,4,18_1,5.0,12,2017-01-01 07:00:00,2017-01-03 07:00:00,0,False
Sim,4,20_1,5.0,121,2017-01-01 07:00:00,2017-01-03 07:00:00,1,False
Sim,4,19_1,5.0,76,2017-01-01 07:00:00,2017-01-04 07:00:00,1,False
Sim,4,13_1,4.0,84,2017-01-01 07:00:00,2017-01-03 07:00:00,0,False
Sim,4,11_1,3.0,192,2017-01-01 07:00:00,2017-01-04 07:00:00,0,False
Sim,4,1_1,1.0,56,2017-01-01 07:00:00,2017-01-04 07:00:00,1,False
Sim,4,16_1,4,972,2017-01-02 07:00:00,2017-01-04 07:00:00,1,False
Sim,4,15_1,4,36,2017-01-02 07:00:00,2017-01-03 07:00:00,1,False
Sim,4,13_1,4,60,2017-01-02 07:00:00,2017-01-04 07:00:00,0,False
Sim,4,11_1,3,84,2017-01-02 07:00:00,2017-01-05 07:00:00,0,False
Sim,4,16_1,4,1044,2017-01-03 07:00:00,2017-01-05 07:00:00,1,False
Sim,4,9_1,3,922,2017-01-03 07:00:00,2017-01-05 07:00:00,1,False
Sim,4,7_1,2,56,2017-01-03 07:00:00,2017-01-06 07:00:00,0,False
Sim,4,19_1,5,76,2017-01-03 07:00:00,2017-01-06 07:00:00,1,False
