StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
4,2_1,2017-01-08 00:00:00,56,2017-01-10 07:00:00
4,2_1,2017-01-08 00:00:00,99,2017-01-10 07:00:00
4,5_1,2017-01-08 00:00:00,84,2017-01-09 07:00:00
4,5_1,2017-01-08 00:00:00,4666,2017-01-09 07:00:00
4,5_1,2017-01-08 00:00:00,4666,2017-01-09 07:00:00
4,5_1,2017-01-08 00:00:00,4666,2017-01-09 07:00:00
4,7_1,2017-01-08 00:00:00,42,2017-01-11 07:00:00
4,7_1,2017-01-08 00:00:00,208,2017-01-11 07:00:00
4,7_1,2017-01-08 00:00:00,208,2017-01-11 07:00:00
4,7_1,2017-01-08 00:00:00,208,2017-01-11 07:00:00
4,9_1,2017-01-08 00:00:00,2064,2017-01-11 07:00:00
4,10_1,2017-01-08 00:00:00,74,2017-01-11 07:00:00
4,10_1,2017-01-08 00:00:00,714,2017-01-11 07:00:00
4,10_1,2017-01-08 00:00:00,714,2017-01-11 07:00:00
4,10_1,2017-01-08 00:00:00,714,2017-01-11 07:00:00
4,11_1,2017-01-08 00:00:00,73,2017-01-09 07:00:00
4,11_1,2017-01-08 00:00:00,506,2017-01-09 07:00:00
4,11_1,2017-01-08 00:00:00,506,2017-01-09 07:00:00
4,11_1,2017-01-08 00:00:00,506,2017-01-09 07:00:00
4,12_1,2017-01-08 00:00:00,12,2017-01-08 07:00:00
4,12_1,2017-01-08 00:00:00,159,2017-01-08 07:00:00
4,13_1,2017-01-08 00:00:00,58,2017-01-11 07:00:00
4,13_1,2017-01-08 00:00:00,158,2017-01-11 07:00:00
4,14_1,2017-01-08 00:00:00,2091,2044-05-22 07:00:00
4,16_1,2017-01-08 00:00:00,266,2044-05-22 07:00:00
4,16_1,2017-01-08 00:00:00,2016,2044-05-22 07:00:00
4,17_1,2017-01-08 00:00:00,18,2044-05-23 07:00:00
4,17_1,2017-01-08 00:00:00,161,2044-05-23 07:00:00
4,17_1,2017-01-08 00:00:00,161,2044-05-23 07:00:00
4,17_1,2017-01-08 00:00:00,161,2044-05-23 07:00:00
4,19_1,2017-01-08 00:00:00,42,2044-05-23 07:00:00
4,19_1,2017-01-08 00:00:00,270,2044-05-23 07:00:00
4,19_1,2017-01-08 00:00:00,270,2044-05-23 07:00:00
4,19_1,2017-01-08 00:00:00,270,2044-05-23 07:00:00
4,20_1,2017-01-08 00:00:00,86,2017-01-08 07:00:00
4,20_1,2017-01-08 00:00:00,340,2017-01-08 07:00:00
