StoreID,ProductID,InventoryDateTime,Units,ExpiryDateTime
5,1_1,2017-01-04 00:00:00,46,2017-01-04 07:00:00
5,1_1,2017-01-04 00:00:00,224,2017-01-04 07:00:00
5,3_1,2017-01-04 00:00:00,13,2017-01-10 07:00:00
5,3_1,2017-01-04 00:00:00,33,2017-01-10 07:00:00
5,7_1,2017-01-04 00:00:00,42,2017-01-09 07:00:00
5,7_1,2017-01-04 00:00:00,72,2017-01-09 07:00:00
5,9_1,2017-01-04 00:00:00,9,2017-01-10 07:00:00
5,9_1,2017-01-04 00:00:00,86,2017-01-10 07:00:00
5,10_1,2017-01-04 00:00:00,16,2017-01-09 07:00:00
5,10_1,2017-01-04 00:00:00,69,2017-01-09 07:00:00
5,11_1,2017-01-04 00:00:00,110,2017-01-07 07:00:00
5,11_1,2017-01-04 00:00:00,2027,2017-01-07 07:00:00
5,13_1,2017-01-04 00:00:00,28,2017-01-10 07:00:00
5,13_1,2017-01-04 00:00:00,78,2017-01-10 07:00:00
