big_demand,prob_lead_demand
298,0.021554038747811591
327,0.0017072784131275714
326,0.0019819380111629858
325,0.0022888386748875791
324,0.002629898533327399
323,0.0030068806826839688
322,0.003421348374793064
321,0.0038746188009969127
320,0.0043677163012731876
319,0.0049013259264103857
318,0.0054757483622750666
317,0.0060908328025674812
316,0.0067459821252027269
315,0.0074400969077161013
314,0.00817154653601573
313,0.0089381237005983025
312,0.0097370716221517779
311,0.010565058512079345
310,0.011418181107431475
309,0.012291978189478173
308,0.013181454488975541
307,0.014081093903878565
306,0.014984941055796081
305,0.015886639506679456
304,0.016779496664987969
303,0.017656557787574668
302,0.018510688120636856
301,0.019334661998278695
300,0.020121257508552971
299,0.020863355150505414
297,0.022186696760806993
296,0.0227551220542431
295,0.023253608137350487
294,0.023677039899137168
293,0.024020976917458317
292,0.024281727526010943
291,0.024456411978240146
358,3.0425205568141604E-08
357,1.1298518359754396E-07
356,2.7852952287080912E-07
355,5.6974731548053559E-07
354,1.0444072336422608E-06
353,1.7791875039287764E-06
352,2.8741358159194205E-06
351,4.4577862109159641E-06
350,6.6929431651797282E-06
349,9.78312247297213E-06
348,1.397961439695821E-05
347,1.9589107322238124E-05
346,2.6981780429406776E-05
345,3.6599742435151816E-05
344,4.8965661080305192E-05
343,6.4691395677366734E-05
342,8.4486413582551633E-05
341,0.00010916574183797597
340,0.00013965717831310165
339,0.00017700746330438075
338,0.00022238709355485199
337,0.00027709344686875631
336,0.00034255187780062171
335,0.00042031444424447522
334,0.00051205593216922666
333,0.00061956686234077962
332,0.000744743189761811
331,0.00088957244481043278
330,0.0010561161155656657
329,0.0012464881341701366
328,0.0014628294064634405
