s_Q,prob_lead_lifetime
1428,1.030755844435333E-24
1429,1.1082815625313945E-23
1430,6.6115537743398629E-23
1431,2.888619104751082E-22
1432,1.0312386944276833E-21
1433,3.1864948489119951E-21
1434,8.8247930465605788E-21
1435,2.2415434141506526E-20
1436,5.3071657844362603E-20
1437,1.1852011386108534E-19
1438,2.5189909835266826E-19
1439,5.1308623124330121E-19
1440,1.0071278701741664E-18
1441,1.9135982909305315E-18
1442,3.5325029735099641E-18
1443,6.354852150762995E-18
1444,1.1169525420808586E-17
1445,1.9222862754964908E-17
1446,3.2453989975581074E-17
1447,5.3837783867079378E-17
1448,8.78793300140269E-17
1449,1.4131965180537071E-16
1450,2.2413356666962732E-16
1451,3.50928236916342E-16
1452,5.4288718553442254E-16
1453,8.3045156032269808E-16
1454,1.2569911314865278E-15
1455,1.883795455836712E-15
1456,2.7968152113506435E-15
1457,4.1157102591263964E-15
1458,6.0059210624632168E-15
1459,8.6946816238978138E-15
1460,1.2492144693756473E-14
1461,1.7819105229268419E-14
1462,2.5243199830856512E-14
1463,3.5525944762171954E-14
1464,4.9683572965337619E-14
1465,6.9065364713990638E-14
1466,9.545406501265254E-14
1467,1.3119407634573342E-13
1468,1.7935444644809772E-13
1469,2.4393528256855E-13
1470,3.3012816896170793E-13
1471,4.4464350446072328E-13
1472,5.9612048319436039E-13
1473,7.9563879623991415E-13
1474,1.0573551303199863E-12
1475,1.3992922908908008E-12
1476,1.8443144064988398E-12
1477,2.4213283224297677E-12
1478,3.1667591278292792E-12
1479,4.1263569673630664E-12
1480,5.3574030766108372E-12
1481,6.9313955876779452E-12
1482,8.9373103460997887E-12
1483,1.1485549063359019E-11
1484,1.4712706938949262E-11
1485,1.878731479930559E-11
1486,2.3916737238644951E-11
1487,3.0355438676159284E-11
1488,3.84148641829117E-11
1489,4.8475221952355487E-11
1490,6.0999500020966552E-11
1491,7.6550101982487272E-11
1492,9.5808545739136061E-11
1493,1.195987366240349E-10
1494,1.489144024127196E-10
1495,1.849513637965774E-10
1496,2.2914541087623917E-10
1497,2.8321666529033141E-10
1498,3.4922142995206692E-10
1499,4.2961266533800426E-10
1500,5.2731038426377934E-10
1501,6.457834275839934E-10
1502,7.8914427285005961E-10
1503,9.6225873832083919E-10
1504,1.1708726776018659E-09
1505,1.4217580174270205E-09
1506,1.7228807746055798E-09
1507,2.0835939999211315E-09
1508,2.5148589388322054E-09
1509,3.0294980732838626E-09
1510,3.642484117930082E-09
1511,4.3712694897481E-09
1512,5.2361612545647547E-09
1513,6.2607470795663561E-09
1514,7.4723782895487174E-09
1515,8.90271673854484E-09
1516,1.0588352869520858E-08
1517,1.2571503044914614E-08
1518,1.4900794991615226E-08
1519,1.7632151017066821E-08
1520,2.0829779519820835E-08
1521,2.4567286239082996E-08
1522,2.8928917664313654E-08
1523,3.4010950058088107E-08
1524,3.99232386331362E-08
1525,4.6790942567218207E-08
1526,5.4756442736187959E-08
1527,6.398147029459387E-08
1528,7.4649465532173968E-08
1529,8.6968187780610375E-08
1530,1.0117259853414193E-07
1992,1.0789807028810829E-24
1991,1.1384976002341028E-23
1990,6.6676924649265779E-23
1989,2.8609931535304256E-22
1988,1.003467398511483E-21
1987,3.0474475736948145E-21
1986,8.2978628012045231E-21
1985,2.0730297697890671E-20
1984,4.82918456078017E-20
1983,1.0614758818370974E-19
1982,2.2212822322172747E-19
1981,4.4563223642800684E-19
1980,8.6184241821014635E-19
1979,1.6139747575157891E-18
1978,2.9374782783189353E-18
1977,5.2117659563210066E-18
1976,9.0373341365833117E-18
1975,1.5349220962642597E-17
1974,2.5581920399322534E-17
1973,4.1906435993200606E-17
1972,6.7567544752504152E-17
1971,1.0735907331422281E-16
1970,1.6828772779130176E-16
1969,2.60492592681477E-16
1968,3.9850885209419412E-16
1967,6.0299186253466523E-16
1966,9.03052991252386E-16
1965,1.3394035555281769E-15
1964,1.968560112609268E-15
1963,2.8684361259941908E-15
1962,4.1457351503012726E-15
1961,5.9456733370740775E-15
1960,8.4646993270462624E-15
1959,1.1967053529422155E-14
1958,1.6806223650067586E-14
1957,2.3452617760703578E-14
1956,3.252910046277466E-14
1955,4.4856433939717429E-14
1954,6.1511148242568042E-14
1953,8.3898950875848573E-14
1952,1.1384749441589555E-13
1951,1.5372317562226958E-13
1950,2.0657766725063094E-13
1949,2.7633111588133348E-13
1948,3.6800041187405251E-13
1947,4.8798269304944875E-13
1946,6.4440633031416972E-13
1945,8.475641168736532E-13
1944,1.1104463067822573E-12
1943,1.4493945964098107E-12
1942,1.8849021972919519E-12
1941,2.442589905601846E-12
1940,3.1543936397552675E-12
1939,4.0600054152764232E-12
1938,5.2086172925884073E-12
1937,6.6610266238192126E-12
1936,8.49217111314997E-12
1935,1.0794173986822184E-11
1934,1.3679993161832293E-11
1933,1.7287783949873914E-11
1932,2.1786102805888346E-11
1931,2.7380100228973519E-11
1930,3.4318874479794179E-11
1929,4.29041846600433E-11
1928,5.3500752310111411E-11
1927,6.6548415464917072E-11
1926,8.25764385513016E-11
1925,1.0222032614510513E-10
1924,1.2624153901144954E-10
1923,1.5555056765771143E-10
1922,1.9123388251800033E-10
1921,2.345853515988548E-10
1920,2.8714279674415348E-10
1919,3.507304494783547E-10
1918,4.2750816757797714E-10
1917,5.2002838508137323E-10
1916,6.3130189241979056E-10
1915,7.6487368084632449E-10
1914,9.2491023752584054E-10
1913,1.1162998457642477E-09
1912,1.3447676301979667E-09
1911,1.617007290692665E-09
1910,1.9408316926301085E-09
1909,2.3253447266622261E-09
1908,2.7811371193992073E-09
1907,3.3205091694322236E-09
1906,3.9577237021638426E-09
1905,4.7092928837480467E-09
1904,5.59430291065891E-09
1903,6.6347809986467086E-09
1902,7.8561095347250449E-09
1901,9.2874927299576584E-09
1900,1.0962481620729018E-08
1899,1.2919563813374461E-08
1898,1.5202824952912652E-08
1897,1.7862689522455655E-08
1896,2.095674924682372E-08
1895,2.4550688082953443E-08
1894,2.8719313531656261E-08
1893,3.3547704800730158E-08
1892,3.9132489188660849E-08
1891,4.5583258941184949E-08
1890,5.302414175950325E-08
1889,6.1595539108233777E-08
1888,7.1456047482166954E-08
1887,8.2784578841956031E-08
1886,9.57826975179692E-08
1885,1.1067719200601783E-07
1884,1.2772290123533383E-07
1883,1.4720581607413976E-07
1882,1.6944647804687796E-07
1881,1.9480369846436447E-07
1880,2.2367862240773986E-07
1879,2.5651916325222476E-07
1878,2.9382483465960979E-07
1877,3.3615200820047494E-07
1876,3.8411962597877023E-07
1875,4.3841539881206511E-07
1874,4.9980252165895828E-07
1873,5.6912693906830937E-07
1872,6.4732519443955435E-07
1871,7.3543289781482451E-07
1870,8.3459384775630242E-07
1869,9.460698435795965E-07
1868,1.0712512247983304E-06
1867,1.2116681750679916E-06
1866,1.3690028281789667E-06
1865,1.5451022137191902E-06
1864,1.7419920798848669E-06
1863,1.9618916305413872E-06
1862,2.2072292130034265E-06
1861,2.4806589920902629E-06
1860,2.785078644796221E-06
1859,3.1236481083732816E-06
1858,3.4998094127294938E-06
1857,3.91730762577935E-06
1856,4.38021293771743E-06
1855,4.8929439071013139E-06
1854,5.4602918881021872E-06
1853,6.0874466542900457E-06
1852,6.7800232298452489E-06
1851,7.5440899341105493E-06
1850,8.38619763990068E-06
1849,9.31341023995538E-06
1848,1.033333630934348E-05
1847,1.1454161944490615E-05
1846,1.268468475180371E-05
1845,1.4034348950598229E-05
1844,1.5513281546198168E-05
1843,1.7132329519678052E-05
1842,1.8903097970757678E-05
1841,2.0837989139856598E-05
1840,2.2950242224282423E-05
1839,2.5253973891987725E-05
1838,2.7764219384310008E-05
1837,3.0496974086643E-05
1836,3.3469235433110047E-05
1835,3.6699044998069956E-05
1834,4.0205530613729284E-05
1833,4.4008948339320114E-05
1832,4.8130724093293919E-05
1831,5.2593494745844136E-05
1830,5.74211484548844E-05
1829,6.2638864014451828E-05
1828,6.8273148970466945E-05
1827,7.4351876244956741E-05
1826,8.0904318996332736E-05
1825,8.7961183430220266E-05
1824,9.5554639262765715E-05
1823,0.00010371834752642143
1822,0.00011248748539704291
1821,0.00012189876771085285
1820,0.00013199046483055598
1819,0.00014280241651175838
1818,0.00015437604141398304
1817,0.00016675434189511332
1816,0.00017998190372416612
1815,0.00019410489034502797
1814,0.00020917103132331121
1813,0.00022522960460992237
1812,0.0002423314122584115
1811,0.0002605287492387941
1810,0.00027987536499843112
1809,0.00030042641743080315
1808,0.0003222384189257285
1807,0.0003453691741898335
1806,0.00036987770954395236
1805,0.00039582419342468607
1804,0.00042326984784061492
1803,0.00045227685055969911
1802,0.00048290822783319604
1801,0.00051522773749299955
1800,0.00054929974229364956
