s_Q,prob_lead_lifetime
6123,9.4899110782188927E-25
6124,8.2819627916682932E-24
6125,4.0643531611811211E-23
6126,1.4769980059339845E-22
6127,4.426760186485196E-22
6128,1.1575343905674736E-21
6129,2.7316532362185624E-21
6130,5.9486397076030755E-21
6131,1.214068631830792E-20
6132,2.3485882719030471E-20
6133,4.3431372798829427E-20
6134,7.7284501515503438E-20
6135,1.3302547428174884E-19
6136,2.2240895998446879E-19
6137,3.6243897775928071E-19
6138,5.773218625356599E-19
6139,9.0102673410728012E-19
6140,1.3806124229573954E-18
6141,2.0805150642124505E-18
6142,3.0880325103333988E-18
6143,4.5202914202701665E-18
6144,6.5330415963565196E-18
6145,9.33169126861129E-18
6146,1.3185078167464808E-17
6147,1.844256618993134E-17
6148,2.5555168296080931E-17
6149,3.5101525279211465E-17
6150,4.7819719831621178E-17
6151,6.4646078797196257E-17
6152,8.6762316936736038E-17
6153,1.1565260659944205E-16
6154,1.5317242349485945E-16
6155,2.0163132387129276E-16
6156,2.6389215793126004E-16
6157,3.4348962392966091E-16
6158,4.4477152341517829E-16
6159,5.7306659749061007E-16
6160,7.3488341454009734E-16
6161,9.3814545018326255E-16
6162,1.1924682597517324E-15
6163,1.5094855028076305E-15
6164,1.9032315496697671E-15
6165,2.3905894942757584E-15
6166,2.9918146299418361E-15
6167,3.7311448300078516E-15
6168,4.6375108307743251E-15
6169,5.745361157953928E-15
6170,7.0956183902045384E-15
6171,8.7367856361858344E-15
6172,1.0726224539001304E-14
6173,1.3131628840036668E-14
6174,1.6032720561602727E-14
6175,1.9523199235462239E-14
6176,2.3712978345987837E-14
6177,2.8730747308970379E-14
6178,3.4726901909680245E-14
6179,4.1876891219696082E-14
6180,5.0385034647818228E-14
6181,6.0488869006422777E-14
6182,7.246409234527303E-14
6183,8.6630178878775232E-14
6184,1.0335674767322375E-13
6185,1.2307077693587866E-13
6186,1.4626476583109588E-13
6187,1.7350595681903551E-13
6188,2.0544674365439141E-13
6189,2.4283640348699587E-13
6190,2.8653430607049484E-13
6191,3.3752476901391553E-13
6192,3.9693374541558016E-13
6193,4.6604754921884768E-13
6194,5.463338443522251E-13
6195,6.3946514629862043E-13
6196,7.4734510932518008E-13
6197,8.7213789935097125E-13
6198,1.0163009814995512E-12
6199,1.1826216829523462E-12
6200,1.3742579259730684E-12
6201,1.5947835631108907E-12
6202,1.8482387868204787E-12
6203,2.1391861292829018E-12
6204,2.4727726153081938E-12
6205,2.8547986820976248E-12
6206,3.2917945346047635E-12
6207,3.7911046645381194E-12
6208,4.3609813249883284E-12
6209,5.0106878215497072E-12
6210,5.7506125549663408E-12
6211,6.5923948301110362E-12
6212,7.5490635318631876E-12
6213,8.6351898605699667E-12
6214,9.86705541865362E-12
6215,1.1262837045985941E-11
6216,1.284280991532885E-11
6217,1.462957052089864E-11
6218,1.664828132343283E-11
6219,1.8926938954528221E-11
6220,2.1496668032002192E-11
6221,2.4392042797159684E-11
6222,2.7651438954696872E-11
6223,3.1317418277139268E-11
6224,3.5437148728820234E-11
6225,4.0062863070103958E-11
6226,4.5252359121516429E-11
6227,5.1069545100372842E-11
6228,5.7585033690102691E-11
6229,6.4876788765526738E-11
6230,7.3030828976618227E-11
6231,8.2141992689578251E-11
6232,9.2314769098222356E-11
6233,1.0366420065154965E-10
6234,1.1631686229586187E-10
6235,1.3041192340280059E-10
6236,1.4610229864914605E-10
6237,1.6355589453111742E-10
6238,1.829569586362324E-10
6239,2.04507539260548E-10
6240,2.2842906344934551E-10
6241,2.5496404205611677E-10
6242,2.8437791095915562E-10
6243,3.1696101814824293E-10
6244,3.5303076699702314E-10
6245,3.9293392667079763E-10
6246,4.3704912128583723E-10
6247,4.8578951013611094E-10
6248,5.396056720377369E-10
6249,5.9898870761174424E-10
6250,6.6447357413310726E-10
6251,7.3664266841969207E-10
6252,8.1612967412009629E-10
6253,9.0362369068547023E-10
6254,9.9987366227871586E-10
6255,1.1056931258861062E-09
6256,1.2219652989526831E-09
6257,1.3496485279649697E-09
6258,1.4897821205539657E-09
6259,1.6434925848890533E-09
6260,1.8120003013808858E-09
6261,1.9966266530094416E-09
6262,2.1988016419435595E-09
6263,2.4200720215215435E-09
6264,2.662109974119965E-09
6265,2.9267223669504763E-09
6266,3.2158606193936811E-09
6267,3.5316312171054872E-09
6268,3.8763069098160643E-09
6269,4.2523386314853051E-09
6270,4.6623681832823421E-09
6271,5.1092417217209412E-09
6272,5.596024096208288E-09
6273,6.1260140822518011E-09
6274,6.7027605586186044E-09
6275,7.3300796788543435E-09
6276,8.0120730897435173E-09
6277,8.7531472515316081E-09
6278,9.5580339170310643E-09
6279,1.0431811829096913E-08
6280,1.1379929698385884E-08
6281,1.240823052580157E-08
6282,1.352297733657978E-08
6283,1.4730880395580776E-08
6284,1.6039125976027425E-08
6285,1.745540675666013E-08
6286,1.8987953925069298E-08
6287,2.0645571067811758E-08
6288,2.2437669930819123E-08
6289,2.4374308136559379E-08
